price,volume,timestamp
2366.4,1,09:30:00.077898503
2366.3,1,09:30:00.120223208
2366.3,1,09:30:00.131285600
2366.3,1,09:30:00.131553394
2366.2,1,09:30:00.287312839
2366.2,1,09:30:00.287465792
2366.2,3,09:30:00.287574335
2366.2,1,09:30:00.300000519
2366.2,1,09:30:00.300300422
2366.2,1,09:30:00.363800872
2366.1,1,09:30:00.365330916
2366.0,1,09:30:00.378715243
2366.0,1,09:30:00.378962986
2366.0,1,09:30:00.379024885
2366.0,1,09:30:00.379027364
2366.0,1,09:30:00.379120080
2366.0,1,09:30:00.379311598
2366.0,1,09:30:00.379504846
2366.0,1,09:30:00.379652029
2366.1,1,09:30:00.381974855
2366.1,1,09:30:00.426776669
2366.1,1,09:30:00.426830497
2366.1,1,09:30:00.427486207
2366.1,1,09:30:00.509990899
2366.2,1,09:30:00.512161819
2366.1,4,09:30:00.613810852
2366.1,1,09:30:00.615179248
2366.0,1,09:30:00.615773958
2366.0,3,09:30:00.615909279
2366.0,1,09:30:00.793646928
2366.0,1,09:30:00.794942058
2366.1,2,09:30:00.829628525
2366.0,1,09:30:00.863999656
2366.0,1,09:30:00.864084745
2366.0,1,09:30:00.993396671
2366.1,1,09:30:01.100973457
2366.1,1,09:30:01.118416576
2366.1,1,09:30:01.867877509
2366.0,1,09:30:02.046400060
2365.8,5,09:30:02.107581695
2365.7,5,09:30:02.111676824
2365.6,1,09:30:02.111694533
2365.6,1,09:30:02.123036244
2365.6,2,09:30:02.133418597
2365.5,1,09:30:02.150641139
2365.5,2,09:30:02.150655855
2365.1,5,09:30:02.150655855
2365.2,19,09:30:02.150655855
2365.3,15,09:30:02.150655855
2365.4,9,09:30:02.150655855
2365.1,1,09:30:02.151087868
2365.1,1,09:30:02.151096194
2365.1,3,09:30:02.151096194
2365.1,1,09:30:02.151105078
2365.0,1,09:30:02.151105078
2365.0,1,09:30:02.151242549
2365.0,1,09:30:02.151250396
2365.3,1,09:30:02.152816514
2365.3,1,09:30:02.157353149
2365.3,1,09:30:02.158516091
2365.3,1,09:30:02.159261968
2365.3,1,09:30:02.159685382
2365.4,3,09:30:02.163049916
2365.4,2,09:30:02.163352608
2365.4,1,09:30:02.168591510
2365.4,1,09:30:02.168958970
2365.4,1,09:30:02.169209238
2365.4,1,09:30:02.169864702
2365.4,1,09:30:02.170532381
2365.5,1,09:30:02.177231300
2365.5,1,09:30:02.190092474
2365.6,1,09:30:02.202646538
2365.6,1,09:30:02.202681063
2365.7,1,09:30:02.224681890
2365.8,5,09:30:02.225760440
2365.9,8,09:30:02.227256742
2365.9,1,09:30:02.228332303
2366.0,3,09:30:02.228595254
2365.9,1,09:30:02.228845043
2365.9,1,09:30:02.228889476
2365.9,1,09:30:02.229508836
2365.9,1,09:30:02.229680598
2365.9,1,09:30:02.231023010
2366.0,2,09:30:02.231058646
2366.0,1,09:30:02.231271124
2366.0,3,09:30:02.231953959
2365.9,2,09:30:02.232746066
2365.8,2,09:30:02.234333329
2365.9,1,09:30:02.234333329
2366.0,2,09:30:02.234877289
2366.0,4,09:30:02.235072592
2365.9,1,09:30:02.235276142
2366.0,1,09:30:02.236245096
2366.0,1,09:30:02.236666250
2366.0,1,09:30:02.249723969
2366.0,1,09:30:02.250297177
2366.0,1,09:30:02.263356230
2365.9,1,09:30:02.294298067
2365.9,1,09:30:02.326825736
2365.9,1,09:30:02.326903597
2365.9,1,09:30:02.364624398
2365.9,1,09:30:02.413041354
2366.0,1,09:30:02.670398528
2365.9,1,09:30:02.690613081
2366.0,1,09:30:02.755825866
2366.1,1,09:30:02.765573310
2366.1,1,09:30:02.767762503
2366.0,2,09:30:02.767762503
2366.1,1,09:30:03.017058755
2366.1,1,09:30:03.236963578
2366.0,2,09:30:03.471925705
2365.9,1,09:30:03.734089146
2365.8,1,09:30:03.794035101
2365.8,1,09:30:03.794411876
2365.8,1,09:30:03.794479109
2365.7,8,09:30:04.028992529
2365.6,1,09:30:04.034728380
2365.5,1,09:30:04.101458957
2365.7,2,09:30:04.286853728
