price,volume,timestamp
107.6719,9,09:45:00.262444323
107.6875,3,09:45:01.012904482
107.6719,1,09:45:01.812380745
107.6875,1,09:45:02.092652819
107.6875,802,09:45:02.145296509
107.6875,122,09:45:02.155131697
107.6875,1,09:45:02.157723253
107.6875,5,09:45:02.246203033
107.6875,1,09:45:03.807935343
107.7031,1,09:45:04.717502332
107.7031,32,09:45:04.717518271
107.7031,1,09:45:04.784962596
107.6875,25,09:45:04.974711118
107.6875,10,09:45:06.177306359
107.7031,18,09:45:07.773743623
107.6875,150,09:45:08.040165017
107.7031,18,09:45:08.136340441
107.6875,375,09:45:09.329700933
107.6875,1,09:45:09.329863349
107.6875,1,09:45:09.330041401
107.6875,3,09:45:09.330846575
107.6875,1,09:45:17.961874691
107.6875,1,09:45:17.975707594
107.6875,6,09:45:18.445451875
107.6875,2,09:45:18.445529090
107.7031,1,09:45:18.460572206
107.6875,10,09:45:18.662446778
107.6875,5,09:45:18.810231622
107.6875,2,09:45:18.867203118
107.6875,1,09:45:19.005369446
107.6875,1,09:45:19.077550981
107.6875,10,09:45:20.266716696
107.6875,1,09:45:25.040417503
107.6875,2,09:45:26.910701548
107.6875,100,09:45:29.095214253
107.6875,1,09:45:30.540676539
107.6875,1,09:45:30.904061375
107.6875,1,09:45:31.238877567
107.6875,1,09:45:31.637627933
107.6875,1,09:45:32.910840418
107.6875,94,09:45:32.911263409
107.6875,58,09:45:32.911394266
107.6875,29,09:45:32.911504063
107.6875,28,09:45:32.912083640
107.6875,123,09:45:32.912173466
107.6875,43,09:45:32.912424822
107.6875,46,09:45:32.912555511
107.6875,46,09:45:32.912775020
107.6875,43,09:45:32.912913286
107.6875,28,09:45:32.912966326
107.6875,43,09:45:32.913021620
107.6875,43,09:45:32.913138560
107.6875,4,09:45:32.913330900
107.6875,6,09:45:32.913600464
107.6875,1,09:45:32.914769851
107.6875,126,09:45:32.914825753
107.6875,5,09:45:32.916238563
107.6875,35,09:45:32.916332398
107.6875,2,09:45:32.917020821
107.6875,1,09:45:32.917380915
107.6875,1,09:45:32.918076356
107.6875,30,09:45:32.918144166
107.6875,59,09:45:32.918197472
107.6875,2,09:45:32.918270031
107.6875,1,09:45:32.918517501
107.6875,44,09:45:32.918788328
107.6875,3,09:45:32.919048203
107.6875,3,09:45:32.919147213
107.6875,5,09:45:32.919278822
107.6875,1,09:45:32.920111421
107.6875,1,09:45:32.920192776
107.6875,25,09:45:32.920585411
107.6875,2,09:45:32.921361037
107.6875,1,09:45:32.922126966
107.6875,45,09:45:32.922487847
107.6875,10,09:45:32.923079896
107.6875,9,09:45:32.923259059
107.6875,8,09:45:32.923354997
107.6875,1,09:45:32.923699820
107.6875,1,09:45:32.923825797
107.6875,1,09:45:32.923904445
107.6875,20,09:45:32.924819554
107.6875,1,09:45:32.925269589
107.6875,1,09:45:32.926232360
107.6875,20,09:45:32.927686720
107.6875,20,09:45:32.930568288
